"","VE_susc","Label_testingDiff","t","VE_symptRR_observed.2.5.","VE_symptRR_observed.50.","VE_symptRR_observed.97.5.","VE_symptRR_timeDep.2.5.","VE_symptRR_timeDep.50.","VE_symptRR_timeDep.97.5.","VacStatus_coef_timeDep_VeRR.2.5.","VacStatus_coef_timeDep_VeRR.50.","VacStatus_coef_timeDep_VeRR.97.5.","Stats_sampleSizeCovid_unvac.2.5.","Stats_sampleSizeCovid_unvac.50.","Stats_sampleSizeCovid_unvac.97.5.","Stats_sampleSizeCovid_vac.2.5.","Stats_sampleSizeCovid_vac.50.","Stats_sampleSizeCovid_vac.97.5."
"95",0.55,"equal",124,0.541368993,0.5510881275,0.560626123125,0.584406171075,0.594825086,0.60494813465,-0.928744273375,-0.9034364285,-0.878046928,7720.325,7891,8056.05,10440.55,10637,10795.1
"96",0.55,"equal",125,0.541258254525,0.550923965,0.560787347925,0.58445014525,0.5949004315,0.605217370175,-0.929428150475,-0.9036223955,-0.8781527397,7742.425,7904.5,8061.05,10468.65,10654.5,10807.875
"97",0.55,"equal",126,0.541020739125,0.551157467,0.560744505925,0.5845048638,0.59510708,0.6053573167,-0.9297817281,-0.9041326415,-0.87828453385,7758.475,7918.5,8068.1,10485.9,10671,10816.675
"98",0.55,"equal",127,0.540825381725,0.551061211,0.56074668075,0.58437220555,0.5952126995,0.605489377,-0.930115288775,-0.9043935355,-0.8779652835,7769.225,7926.5,8078.775,10501.275,10679.5,10826.775
"99",0.55,"equal",128,0.540730943325,0.550961667,0.560683174975,0.584090459275,0.595227292,0.605523921475,-0.9302028467,-0.904429585,-0.877288008625,7773.6,7935.5,8084.825,10520.75,10690.5,10836.525
"100",0.55,"equal",129,0.540726321625,0.5509294095,0.5606199356,0.58415112265,0.5952832365,0.605535229325,-0.9302320538,-0.904567807,-0.877433668575,7782.925,7944,8089.25,10542.9,10698.5,10846
"101",0.55,"equal",130,0.54074028745,0.5509706625,0.5606828308,0.5845487904,0.5953523925,0.6055793103,-0.930344043125,-0.904738703,-0.8783901193,7798.625,7947.5,8093.15,10553.8,10705.5,10850.525
"102",0.55,"equal",131,0.54070310925,0.551016119,0.560902729875,0.584492093325,0.595471849,0.605653266,-0.9305308519,-0.9050339515,-0.87825366165,7809.05,7954.5,8097.575,10561.95,10713.5,10857.1
"103",0.55,"equal",132,0.540876653425,0.550942378,0.5609509062,0.58450245615,0.5954552145,0.605664031825,-0.930558533425,-0.9049928315,-0.8782786502,7820.475,7961,8102.05,10569.95,10722,10866.05
"104",0.55,"equal",133,0.540796262025,0.551022516,0.5608507309,0.58456760275,0.59517494,0.605750770375,-0.930778674,-0.9043002835,-0.878435459625,7826.425,7966,8106.625,10573.95,10728.5,10870.675
"105",0.55,"equal",134,0.540703845125,0.551053082,0.5609046779,0.584716194325,0.5952914885,0.60575661215,-0.930794642525,-0.904588205,-0.878793927175,7830.05,7969.5,8107.575,10577.475,10734.5,10876.1
"106",0.55,"equal",135,0.540695130925,0.5509400125,0.5608916349,0.5845672712,0.5953022235,0.605785007875,-0.93086747115,-0.9046147425,-0.8784348195,7834.05,7973.5,8111.1,10583,10739.5,10883.525
"107",0.55,"equal",136,0.540676894475,0.5509138815,0.560973687275,0.58460055365,0.5952797005,0.605853861275,-0.931042141875,-0.9045591055,-0.878515100725,7838.1,7977,8112.1,10586,10748,10886.525
"108",0.55,"equal",137,0.540671794725,0.5509151785,0.5609302481,0.584739747475,0.5952134405,0.605934332725,-0.93124715475,-0.904395366,-0.8788506063,7840.1,7979,8115.625,10594.475,10751,10895.05
"109",0.55,"equal",138,0.54060373715,0.550940985,0.56089314865,0.584764329675,0.595243643,0.605853337225,-0.931040430175,-0.9044699805,-0.8789097572,7842.1,7981.5,8117.2,10601.9,10752.5,10902.525
"110",0.55,"equal",139,0.5404506862,0.55091767,0.5608752476,0.584743711425,0.5952176595,0.605822848875,-0.930962316875,-0.9044057875,-0.87886044825,7845.2,7983.5,8118.725,10608.75,10757.5,10907.05
