VE_infect,VE_susc,Covid_probTrans,Label_testingDiff,t,t_highChange,Covid_cumPropSymptInfect_highChange,VE_symptRR_observed,VE_symptOR_observed,VE_symptRR_degUnderNeg_highChange_trueVeff,VE_symptOR_degUnderNeg_highChange_trueVeff,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac
0.1,0.1,0.1,highUnequal,50,50,0.20186,-1.338825953,-0.154054212,-1.438825953,-0.254054212,0.2166,0.196946667
0.1,0.1,0.1,equal,45,45,0.17492,0.110511321,0.129698447,0.010511321,0.029698447,0.19236,0.169106667
0.1,0.1,0.1,modUnequal,45,45,0.17492,-0.601079622,0.033445239,-0.701079622,-0.066554761,0.19236,0.169106667
0.1,0.1,0.1,highUnequal,45,45,0.17492,-1.252088079,-0.068418459,-1.352088079,-0.168418459,0.19236,0.169106667
0.1,0.1,0.1,equal,48,48,0.20233,0.085402707,0.10942146,-0.014597293,0.00942146,0.21524,0.198026667
0.1,0.1,0.1,modUnequal,48,48,0.20233,-0.730300771,-0.037334674,-0.830300771,-0.137334674,0.21524,0.198026667
0.1,0.1,0.1,highUnequal,48,48,0.20233,-1.20984127,-0.078604176,-1.30984127,-0.178604176,0.21524,0.198026667
0.1,0.1,0.1,equal,49,49,0.18507,0.102996255,0.126511005,0.002996255,0.026511005,0.19784,0.180813333
0.1,0.1,0.1,modUnequal,49,49,0.18507,-0.709774849,-0.052181451,-0.809774849,-0.152181451,0.19784,0.180813333
0.1,0.1,0.1,highUnequal,49,49,0.18507,-1.321774795,-0.135345918,-1.421774795,-0.235345918,0.19784,0.180813333
0.1,0.1,0.1,equal,51,51,0.21392,0.079353326,0.096080629,-0.020646674,-0.003919371,0.22812,0.209186667
0.1,0.1,0.1,modUnequal,51,51,0.21392,-0.718498042,-0.048917908,-0.818498042,-0.148917908,0.22812,0.209186667
0.1,0.1,0.1,highUnequal,51,51,0.21392,-1.300339192,-0.101068475,-1.400339192,-0.201068475,0.22812,0.209186667
0.1,0.1,0.1,equal,45,45,0.18015,0.090609061,0.114839851,-0.009390939,0.014839851,0.19392,0.17556
0.1,0.1,0.1,modUnequal,45,45,0.18015,-0.693769209,-0.017807436,-0.793769209,-0.117807436,0.19392,0.17556
0.1,0.1,0.1,highUnequal,45,45,0.18015,-1.304066895,-0.088775906,-1.404066895,-0.188775906,0.19392,0.17556
0.1,0.1,0.1,equal,47,47,0.22527,0.127163024,0.157488373,0.027163024,0.057488373,0.24704,0.218013333
0.1,0.1,0.1,modUnequal,47,47,0.22527,-0.602298851,0.023460015,-0.702298851,-0.076539985,0.24704,0.218013333
0.1,0.1,0.1,highUnequal,47,47,0.22527,-1.263655152,-0.055616908,-1.363655152,-0.155616908,0.24704,0.218013333
0.1,0.1,0.1,equal,46,46,0.16014,0.062055816,0.07009637,-0.037944184,-0.02990363,0.17032,0.156746667
0.1,0.1,0.1,modUnequal,46,46,0.16014,-0.659306961,-0.01337274,-0.759306961,-0.11337274,0.17032,0.156746667
0.1,0.1,0.1,highUnequal,46,46,0.16014,-1.363914373,-0.117519914,-1.463914373,-0.217519914,0.17032,0.156746667
0.1,0.1,0.1,equal,46,46,0.20012,0.098375932,0.107976268,-0.001624068,0.007976268,0.21588,0.194866667
0.1,0.1,0.1,modUnequal,46,46,0.20012,-0.611467999,0.029655402,-0.711467999,-0.070344598,0.21588,0.194866667
0.1,0.1,0.1,highUnequal,46,46,0.20012,-1.264460047,-0.101245522,-1.364460047,-0.201245522,0.21588,0.194866667
0.1,0.1,0.1,equal,47,47,0.19423,0.086920184,0.083131101,-0.013079816,-0.016868899,0.20824,0.18956
0.1,0.1,0.1,modUnequal,47,47,0.19423,-0.649056604,0.003223658,-0.749056604,-0.096776342,0.20824,0.18956
0.1,0.1,0.1,highUnequal,47,47,0.19423,-1.314618644,-0.117702144,-1.414618644,-0.217702144,0.20824,0.18956
0.1,0.1,0.1,equal,47,47,0.18023,0.099071207,0.124493477,-0.000928793,0.024493477,0.19736,0.17452
0.1,0.1,0.1,modUnequal,47,47,0.18023,-0.648058252,-0.00397674,-0.748058252,-0.10397674,0.19736,0.17452
0.1,0.1,0.1,highUnequal,47,47,0.18023,-1.396470588,-0.155249533,-1.496470588,-0.255249533,0.19736,0.17452
0.1,0.1,0.1,equal,47,47,0.19426,0.146344682,0.15448308,0.046344682,0.05448308,0.21636,0.186893333
0.1,0.1,0.1,modUnequal,47,47,0.19426,-0.606805763,0.019136758,-0.706805763,-0.080863242,0.21636,0.186893333
0.1,0.1,0.1,highUnequal,47,47,0.19426,-1.289101203,-0.118698329,-1.389101203,-0.218698329,0.21636,0.186893333
0.1,0.1,0.1,equal,50,50,0.19727,0.086052202,0.091657669,-0.013947798,-0.008342331,0.21036,0.192906667
0.1,0.1,0.1,modUnequal,50,50,0.19727,-0.710687023,-0.071391933,-0.810687023,-0.171391933,0.21036,0.192906667
0.1,0.1,0.1,highUnequal,50,50,0.19727,-1.336809176,-0.141217122,-1.436809176,-0.241217122,0.21036,0.192906667
0.1,0.1,0.1,equal,46,46,0.19607,0.051585624,0.047223354,-0.048414376,-0.052776646,0.20964,0.191546667
0.1,0.1,0.1,modUnequal,46,46,0.19607,-0.756460454,-0.07642697,-0.856460454,-0.17642697,0.20964,0.191546667
0.1,0.1,0.1,highUnequal,46,46,0.19607,-1.430119177,-0.202424232,-1.530119177,-0.302424232,0.20964,0.191546667
0.1,0.1,0.1,equal,46,46,0.21487,0.092475518,0.116634527,-0.007524482,0.016634527,0.22844,0.210346667
0.1,0.1,0.1,modUnequal,46,46,0.21487,-0.731961202,-0.041333017,-0.831961202,-0.141333017,0.22844,0.210346667
0.1,0.1,0.1,highUnequal,46,46,0.21487,-1.308735415,-0.122060134,-1.408735415,-0.222060134,0.22844,0.210346667
0.1,0.1,0.1,equal,47,47,0.19282,0.085251849,0.106790977,-0.014748151,0.006790977,0.20432,0.188986667
0.1,0.1,0.1,modUnequal,47,47,0.19282,-0.711302532,-0.029517613,-0.811302532,-0.129517613,0.20432,0.188986667
0.1,0.1,0.1,highUnequal,47,47,0.19282,-1.327298545,-0.098024866,-1.427298545,-0.198024866,0.20432,0.188986667
0.1,0.1,0.1,equal,47,47,0.17398,0.117269812,0.145444728,0.017269812,0.045444728,0.1866,0.169773333
0.1,0.1,0.1,modUnequal,47,47,0.17398,-0.634435963,0.021387872,-0.734435963,-0.078612128,0.1866,0.169773333
0.1,0.1,0.1,highUnequal,47,47,0.17398,-1.248541424,-0.073007299,-1.348541424,-0.173007299,0.1866,0.169773333
0.1,0.1,0.1,equal,47,47,0.1999,0.134234234,0.160571718,0.034234234,0.060571718,0.22292,0.192226667
0.1,0.1,0.1,modUnequal,47,47,0.1999,-0.601666667,0.029411049,-0.701666667,-0.070588951,0.22292,0.192226667
0.1,0.1,0.1,highUnequal,47,47,0.1999,-1.258140316,-0.087798233,-1.358140316,-0.187798233,0.22292,0.192226667
0.1,0.1,0.1,equal,46,46,0.18427,0.07956226,0.092110004,-0.02043774,-0.007889996,0.1944,0.180893333
0.1,0.1,0.1,modUnequal,46,46,0.18427,-0.713184696,-0.044686065,-0.813184696,-0.144686065,0.1944,0.180893333
0.1,0.1,0.1,highUnequal,46,46,0.18427,-1.305185185,-0.115085182,-1.405185185,-0.215085182,0.1944,0.180893333
0.1,0.1,0.1,equal,47,47,0.20135,0.094676108,0.118390362,-0.005323892,0.018390362,0.21908,0.19544
0.1,0.1,0.1,modUnequal,47,47,0.20135,-0.598148148,0.027350763,-0.698148148,-0.072649237,0.21908,0.19544
0.1,0.1,0.1,highUnequal,47,47,0.20135,-1.267323481,-0.09978783,-1.367323481,-0.19978783,0.21908,0.19544
0.1,0.1,0.1,equal,50,50,0.18744,0.110170687,0.141296488,0.010170687,0.041296488,0.20344,0.182106667
0.1,0.1,0.1,modUnequal,50,50,0.18744,-0.626192318,0.001471362,-0.726192318,-0.098528638,0.20344,0.182106667
0.1,0.1,0.1,highUnequal,50,50,0.18744,-1.325958702,-0.137232903,-1.425958702,-0.237232903,0.20344,0.182106667
0.1,0.1,0.1,equal,47,47,0.22963,0.119904077,0.122307251,0.019904077,0.022307251,0.24716,0.223786667
0.1,0.1,0.1,modUnequal,47,47,0.22963,-0.556026651,0.053212546,-0.656026651,-0.046787454,0.24716,0.223786667
0.1,0.1,0.1,highUnequal,47,47,0.22963,-1.32278481,-0.154345121,-1.42278481,-0.254345121,0.24716,0.223786667
0.1,0.1,0.1,equal,48,48,0.20293,0.077014688,0.094285616,-0.022985312,-0.005714384,0.21992,0.197266667
0.1,0.1,0.1,modUnequal,48,48,0.20293,-0.653627312,-0.026414308,-0.753627312,-0.126414308,0.21992,0.197266667
0.1,0.1,0.1,highUnequal,48,48,0.20293,-1.331995988,-0.149280161,-1.431995988,-0.249280161,0.21992,0.197266667
0.1,0.1,0.1,equal,52,52,0.19864,0.098985106,0.112919382,-0.001014894,0.012919382,0.21528,0.193093333
0.1,0.1,0.1,modUnequal,52,52,0.19864,-0.676723081,-0.024795453,-0.776723081,-0.124795453,0.21528,0.193093333
0.1,0.1,0.1,highUnequal,52,52,0.19864,-1.383542538,-0.15691528,-1.483542538,-0.25691528,0.21528,0.193093333
0.1,0.1,0.1,equal,48,48,0.17489,0.117523294,0.133114755,0.017523294,0.033114755,0.19148,0.16936
0.1,0.1,0.1,modUnequal,48,48,0.17489,-0.608326486,0.027729699,-0.708326486,-0.072270301,0.19148,0.16936
0.1,0.1,0.1,highUnequal,48,48,0.17489,-1.366787586,-0.146762946,-1.466787586,-0.246762946,0.19148,0.16936
0.1,0.1,0.1,equal,49,49,0.21457,0.109319653,0.141819697,0.009319653,0.041819697,0.22976,0.209506667
0.1,0.1,0.1,modUnequal,49,49,0.21457,-0.647909605,-0.005411879,-0.747909605,-0.105411879,0.22976,0.209506667
0.1,0.1,0.1,highUnequal,49,49,0.21457,-1.256886413,-0.079324072,-1.356886413,-0.179324072,0.22976,0.209506667
0.1,0.1,0.1,equal,48,48,0.19229,0.132005312,0.136517631,0.032005312,0.036517631,0.21064,0.186173333
0.1,0.1,0.1,modUnequal,48,48,0.19229,-0.579888808,0.016248297,-0.679888808,-0.083751703,0.21064,0.186173333
0.1,0.1,0.1,highUnequal,48,48,0.19229,-1.133855697,-0.039349497,-1.233855697,-0.139349497,0.21064,0.186173333
0.1,0.1,0.1,equal,46,46,0.20215,0.092264303,0.119536108,-0.007735697,0.019536108,0.21548,0.197706667
0.1,0.1,0.1,modUnequal,46,46,0.20215,-0.586619718,0.05105872,-0.686619718,-0.04894128,0.21548,0.197706667
0.1,0.1,0.1,highUnequal,46,46,0.20215,-1.208823529,-0.056069029,-1.308823529,-0.156069029,0.21548,0.197706667
0.1,0.1,0.1,equal,51,51,0.20208,0.106583883,0.132600134,0.006583883,0.032600134,0.22004,0.196093333
0.1,0.1,0.1,modUnequal,51,51,0.20208,-0.643349988,-0.000864452,-0.743349988,-0.100864452,0.22004,0.196093333
0.1,0.1,0.1,highUnequal,51,51,0.20208,-1.339769648,-0.136785014,-1.439769648,-0.236785014,0.22004,0.196093333
0.1,0.1,0.1,equal,52,52,0.24571,0.104771013,0.133477277,0.004771013,0.033477277,0.26736,0.238493333
0.1,0.1,0.1,modUnequal,52,52,0.24571,-0.677618479,-0.027089066,-0.777618479,-0.127089066,0.26736,0.238493333
