VE_susc,Label_testingDiff,Test_sens,Label_epiPhase,VE_symptRR_degUnderNeg_testSens,VE_symptOR_degUnderNeg_testSens,FalseNeg_withTestSens_unvac,FalseNeg_withTestSens_vac,NonCovid_cumSymptInfect_tested_withTestSens_unvac,NonCovid_cumSymptInfect_tested_withTestSens_vac,totalNum_sims
0.1,modUnequal,0.5,Highest Growth,-0.677299413,-0.067755353,766.5,3627,5129.5,25081,100
0.1,modUnequal,0.5,Peak,-0.672089947,-0.097861341,1512,7131,5588,26411,100
0.1,highUnequal,0.5,Highest Growth,-1.304193254,-0.140490652,548.5,3627,3946.5,25081,100
0.1,highUnequal,0.5,Peak,-1.288766114,-0.187463138,1086,7131,4374,26411,100
0.1,equal,0.5,Highest Growth,-0.030102367,-0.018070827,1042,2907.5,8330,25317.5,100
0.1,equal,0.5,Peak,0.001566176,0.018880424,2479.5,6683,8778.5,26853,100
0.1,modUnequal,0.5,Highest Growth,-0.742655367,-0.095812169,590,2907.5,5116,25317.5,100
0.1,modUnequal,0.5,Peak,-0.76679137,-0.139905755,1336.5,6683,5584.5,26853,100
0.1,highUnequal,0.5,Highest Growth,-1.443812979,-0.201339828,413.5,2907.5,3965.5,25317.5,100
0.1,highUnequal,0.5,Peak,-1.377777778,-0.229855137,978,6683,4440,26853,100
0.1,equal,0.5,Highest Growth,0.01548459,0.016394338,1346.5,3573,8579.5,25765,100
0.1,equal,0.5,Peak,0.006475801,0.003966747,2445,6554,8928,26709,100
0.1,modUnequal,0.5,Highest Growth,-0.722615804,-0.095485659,734,3573,5269,25765,100
0.1,modUnequal,0.5,Peak,-0.720071685,-0.132402191,1348.5,6554,5673.5,26709,100
0.1,highUnequal,0.5,Highest Growth,-1.162337662,-0.089465826,577.5,3573,4120.5,25765,100
0.1,highUnequal,0.5,Peak,-1.176679341,-0.149419337,1052,6554,4499,26709,100
0.1,equal,0.5,Highest Growth,0.021317661,0.02934091,1148.5,3027.5,8500.5,25736.5,100
0.1,equal,0.5,Peak,0.015006742,0.032214039,2595.5,6891,8867.5,27130,100
