"","VE_susc","Label_testingDiff","t","t_highChange","NonCovid_propSympt","Covid_cumPropSymptInfect_highChange","VE_symptRR_observed","VE_symptOR_observed","VE_symptRR_degUnderNeg_highChange_trueVeff","VE_symptOR_degUnderNeg_highChange_trueVeff","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","totalNum_sims"
"36925",0.55,"equal",69,69,0.05,0.08615,0.554171609331752,0.586469513466175,0.00417160933175165,0.0364695134661753,3760,12161,100
"37276",0.55,"modUnequal",69,69,0.05,0.08615,0.179403202328967,0.5335938602498,-0.370596797671033,-0.0164061397502002,2304,12161,100
"37627",0.55,"highUnequal",69,69,0.05,0.08615,-0.130325814536341,0.512029395089566,-0.680325814536341,-0.0379706049104342,1750,12161,100
"37987",0.55,"equal",78,78,0.05,0.10471,0.548103990726942,0.591368804916701,-0.00189600927305844,0.0413688049167014,3970,13171,100
"38338",0.55,"modUnequal",78,78,0.05,0.10471,0.177516576250754,0.55075956643747,-0.372483423749246,0.000759566437470216,2398,13171,100
"38689",0.55,"highUnequal",78,78,0.05,0.10471,-0.106650446066504,0.517042991117587,-0.656650446066504,-0.0329570088824135,1916,13171,100
"39031",0.55,"equal",69,69,0.05,0.07986,0.555770887166236,0.589150773177076,0.00577088716623608,0.0391507731770759,3713,12044,100
"39382",0.55,"modUnequal",69,69,0.05,0.07986,0.205009633911368,0.556629833193512,-0.344990366088632,0.00662983319351207,2239,12044,100
"39733",0.55,"highUnequal",69,69,0.05,0.07986,-0.159640247329961,0.476024391732843,-0.709640247329961,-0.0739756082671575,1814,12044,100
"40090",0.55,"equal",75,75,0.05,0.08909,0.546170506005119,0.574341683205741,-0.00382949399488086,0.0243416832057406,3994,12775,100
"40441",0.55,"modUnequal",75,75,0.05,0.08909,0.181753638622648,0.528843817276571,-0.368246361377352,-0.0211561827234286,2452,12775,100
"40792",0.55,"highUnequal",75,75,0.05,0.08909,-0.0991893180734384,0.503880578629241,-0.649189318073438,-0.046119421370759,1922,12775,100
"41135",0.55,"equal",67,67,0.05,0.0875,0.554358667464592,0.58343543583956,0.00435866746459201,0.0334354358395599,3658,11740,100
"41486",0.55,"modUnequal",67,67,0.05,0.0875,0.204415954415955,0.540743349495479,-0.345584045584046,-0.00925665050452107,2259,11740,100
"41837",0.55,"highUnequal",67,67,0.05,0.0875,-0.133434804667681,0.520655553221888,-0.683434804667681,-0.0293444467781123,1655,11740,100
"42191",0.55,"equal",70,70,0.05,0.078,0.579995761813944,0.612020744284328,0.0299957618139436,0.0620207442843275,3796,12328,100
"42542",0.55,"modUnequal",70,70,0.05,0.078,0.233565351894818,0.575128618985171,-0.316434648105182,0.0251286189851709,2278,12328,100
"42893",0.55,"highUnequal",70,70,0.05,0.078,-0.0742547425474256,0.53911961929483,-0.624254742547426,-0.0108803807051698,1763,12328,100
"43245",0.55,"equal",71,71,0.05,0.09692,0.544088357776571,0.585156795331475,-0.00591164222342933,0.0351567953314748,3724,12278,100
"43596",0.55,"modUnequal",71,71,0.05,0.09692,0.154749916079221,0.537790433014814,-0.395250083920779,-0.0122095669851856,2238,12278,100
"43947",0.55,"highUnequal",71,71,0.05,0.09692,-0.180496952648851,0.498687806555537,-0.730496952648851,-0.0513121934444626,1738,12278,100
"44297",0.55,"equal",70,70,0.05,0.07392,0.536263736263736,0.548334053662898,-0.0137362637362637,-0.0016659463371016,3954,12179,100
"44648",0.55,"modUnequal",70,70,0.05,0.07392,0.170380078636959,0.507704805674465,-0.379619921363041,-0.0422951943255354,2409,12179,100
"44999",0.55,"highUnequal",70,70,0.05,0.07392,-0.248520710059172,0.44888354238623,-0.798520710059172,-0.10111645761377,1792,12179,100
"45347",0.55,"equal",67,67,0.05,0.06125,0.561341571050309,0.579135996463013,0.0113415710503089,0.0291359964630131,3800,11882,100
"45698",0.55,"modUnequal",67,67,0.05,0.06125,0.238897396630934,0.5678202941482,-0.311102603369066,0.0178202941482,2249,11882,100
"46049",0.55,"highUnequal",67,67,0.05,0.06125,-0.0163599182004088,0.550156807791958,-0.566359918200409,0.000156807791958258,1753,11882,100
"46408",0.55,"equal",75,75,0.05,0.10996,0.55021971123666,0.584826352442202,0.000219711236660314,0.0348263524422019,3915,12724,100
"46759",0.55,"modUnequal",75,75,0.05,0.10996,0.171436831454178,0.53505650554722,-0.378563168545823,-0.01494349445278,2380,12724,100
"47110",0.55,"highUnequal",75,75,0.05,0.10996,-0.101883890811227,0.519376328670048,-0.651883890811227,-0.0306236713299519,1850,12724,100
"47453",0.55,"equal",67,67,0.05,0.07965,0.53964082347788,0.569392060224727,-0.01035917652212,0.0193920602247268,3657,11729,100
"47804",0.55,"modUnequal",67,67,0.05,0.07965,0.139230139230139,0.504850008473506,-0.410769860769861,-0.0451499915264942,2249,11729,100
"48155",0.55,"highUnequal",67,67,0.05,0.07965,-0.121066666666666,0.507663534828204,-0.671066666666666,-0.0423364651717965,1717,11729,100
"48521",0.55,"equal",82,82,0.05,0.10158,0.557676209609911,0.597384171802893,0.00767620960991122,0.0473841718028929,4218,13902,100
"48872",0.55,"modUnequal",82,82,0.05,0.10158,0.159669211195929,0.530872734001698,-0.390330788804071,-0.0191272659983023,2587,13902,100
"49223",0.55,"highUnequal",82,82,0.05,0.10158,-0.0859021783806002,0.5325043491866,-0.6359021783806,-0.0174956508134003,1995,13902,100
"49562",0.55,"equal",70,70,0.05,0.09709,0.556094058517322,0.580414633829195,0.00609405851732181,0.0304146338291954,3784,12010,100
"49913",0.55,"modUnequal",70,70,0.05,0.09709,0.223791588198368,0.5625829699356,-0.326208411801632,0.0125829699355998,2256,12010,100
"50264",0.55,"highUnequal",70,70,0.05,0.09709,-0.148096564531105,0.484647079151775,-0.698096564531105,-0.0653529208482254,1797,12010,100
"50618",0.55,"equal",73,73,0.05,0.10319,0.531282586027112,0.566441062435919,-0.0187174139728885,0.0164410624359188,3868,12545,100
"50969",0.55,"modUnequal",73,73,0.05,0.10319,0.154280338664158,0.525938568472408,-0.395719661335842,-0.024061431527592,2344,12545,100
"51320",0.55,"highUnequal",73,73,0.05,0.10319,-0.116770186335404,0.506199743036869,-0.666770186335404,-0.0438002569631315,1849,12545,100
"51663",0.55,"equal",65,65,0.05,0.07774,0.553506375227687,0.574900138652416,0.00350637522768671,0.0249001386524155,3676,11583,100
"52014",0.55,"modUnequal",65,65,0.05,0.07774,0.188999172870141,0.545242996442335,-0.361000827129859,-0.00475700355766528,2165,11583,100
"52365",0.55,"highUnequal",65,65,0.05,0.07774,-0.0375661375661376,0.556864397605138,-0.587566137566138,0.00686439760513824,1649,11583,100
"52727",0.55,"equal",76,76,0.05,0.08669,0.58720152817574,0.603382238392508,0.0372015281757402,0.0533822383925084,4167,13011,100
"53078",0.55,"modUnequal",76,76,0.05,0.08669,0.249652777777778,0.570587547716035,-0.300347222222222,0.0205875477160351,2482,13011,100
