VE_susc,Label_testingDiff,Test_sens,Label_epiPhase,VE_symptRR_degUnderNeg_testSens,FalseNeg_withTestSens_unvac,FalseNeg_withTestSens_vac,NonCovid_cumSymptInfect_tested_withTestSens_unvac,NonCovid_cumSymptInfect_tested_withTestSens_vac,VE_symptOR_degUnderNeg_testSens,totalNum_sims
0.55,highUnequal,0.5,Peak,-0.633673073,858.5,2791,6225.5,35713,-0.116718566,100
0.55,equal,0.5,Highest Growth,-0.009048747,844.5,1163,10854.5,33291,0.000982732,100
0.55,equal,0.5,Peak,-0.016763825,2058.5,2882.5,11340.5,35775.5,0.006120656,100
0.55,modUnequal,0.5,Highest Growth,-0.411481481,450,1163,6912,33291,-0.086591872,100
0.55,modUnequal,0.5,Peak,-0.385870668,1149.5,2882.5,7533.5,35775.5,-0.078045591,100
0.55,highUnequal,0.5,Highest Growth,-0.739161554,326,1163,5536,33291,-0.143241269,100
0.55,highUnequal,0.5,Peak,-0.68842812,844,2882.5,6209,35775.5,-0.142738064,100
0.55,equal,0.5,Highest Growth,0.015729104,835.5,1088.5,10227.5,31390.5,0.025523908,100
0.55,equal,0.5,Peak,0.00152361,2149.5,2892,10842.5,34323,0.024984245,100
0.55,modUnequal,0.5,Highest Growth,-0.342212518,458,1088.5,6377,31390.5,-0.032815428,100
0.55,modUnequal,0.5,Peak,-0.344069193,1214,2892,7174,34323,-0.047915601,100
0.55,highUnequal,0.5,Highest Growth,-0.604748062,344,1088.5,5101,31390.5,-0.06419409,100
0.55,highUnequal,0.5,Peak,-0.621111111,900,2892,5877,34323,-0.10020715,100
0.55,equal,0.5,Highest Growth,-0.003799442,1015.5,1382.5,10523.5,32293.5,0.006360404,100
0.55,equal,0.5,Peak,0.00221331,2244,3014.5,10989,34709.5,0.024693273,100
0.55,modUnequal,0.5,Highest Growth,-0.375126828,558.5,1382.5,6688.5,32293.5,-0.062690862,100
0.55,modUnequal,0.5,Peak,-0.360676348,1239.5,3014.5,7343.5,34709.5,-0.064545162,100
0.55,highUnequal,0.5,Highest Growth,-0.651154918,418.5,1382.5,5411.5,32293.5,-0.103569589,100
0.55,highUnequal,0.5,Peak,-0.627569258,932.5,3014.5,6075.5,34709.5,-0.11584843,100
0.55,equal,0.5,Highest Growth,0.002525782,953.5,1280,10983.5,33672,0.012113946,100
0.55,equal,0.5,Peak,-0.009031199,2030,2795.5,11334,35747.5,0.013382647,100
0.55,modUnequal,0.5,Highest Growth,-0.383333333,512,1280,7001,33672,-0.069793894,100
0.55,modUnequal,0.5,Peak,-0.38310982,1118.5,2795.5,7471.5,35747.5,-0.072378909,100
0.55,highUnequal,0.5,Highest Growth,-0.693878463,373,1280,5564,33672,-0.117047378,100
0.55,highUnequal,0.5,Peak,-0.67336749,829.5,2795.5,6118.5,35747.5,-0.12682277,100
0.55,equal,0.5,Highest Growth,-0.009893048,1028.5,1419,10087.5,31365,0.006272489,100
0.55,equal,0.5,Peak,-0.005529595,2140,2924.5,10616,33846.5,0.0213676,100
0.55,modUnequal,0.5,Highest Growth,-0.395397676,559.5,1419,6392.5,31365,-0.066901449,100
0.55,modUnequal,0.5,Peak,-0.357984528,1206.5,2924.5,6964.5,33846.5,-0.048770175,100
0.55,highUnequal,0.5,Highest Growth,-0.660328638,426,1419,5216,31365,-0.103943011,100
0.55,highUnequal,0.5,Peak,-0.650263356,886,2924.5,5807,33846.5,-0.11631226,100
0.55,equal,0.5,Highest Growth,-0.011836409,731.5,1013.5,10472.5,32008.5,-0.003309133,100
0.55,equal,0.5,Peak,-0.007680492,2170,2979.5,11122,34949.5,0.013056202,100
0.55,modUnequal,0.5,Highest Growth,-0.366022544,414,1013.5,6480,32008.5,-0.045602051,100
0.55,modUnequal,0.5,Peak,-0.375231962,1203.5,2979.5,7231.5,34949.5,-0.062253246,100
0.55,highUnequal,0.5,Highest Growth,-0.68557423,297.5,1013.5,5266.5,32008.5,-0.110523144,100
0.55,highUnequal,0.5,Peak,-0.650461681,902.5,2979.5,6112.5,34949.5,-0.127396417,100
0.55,equal,0.5,Highest Growth,0.013448391,999.5,1309,10142.5,31132,0.023327313,100
0.55,equal,0.5,Peak,-0.000267209,2089.5,2822.5,10619.5,33534.5,0.022236417,100
0.55,modUnequal,0.5,Highest Growth,-0.325703704,562.5,1309,6299.5,31132,-0.020886433,100
0.55,modUnequal,0.5,Peak,-0.348670062,1178,2822.5,6906,33534.5,-0.043427555,100
0.55,highUnequal,0.5,Highest Growth,-0.614227642,410,1309,5088,31132,-0.071790143,100
0.55,highUnequal,0.5,Peak,-0.637668593,865,2822.5,5746,33534.5,-0.109102751,100
0.55,equal,0.5,Highest Growth,0.026274196,938.5,1193,10528.5,32047,0.032376155,100
0.55,equal,0.5,Peak,0.014078208,2105.5,2753.5,11049.5,34482.5,0.030942405,100
0.55,modUnequal,0.5,Highest Growth,-0.338239181,504.5,1193,6629.5,32047,-0.039184477,100
0.55,modUnequal,0.5,Peak,-0.346384671,1152.5,2753.5,7215.5,34482.5,-0.049933032,100
0.55,highUnequal,0.5,Highest Growth,-0.600638485,378.5,1193,5318.5,32047,-0.07308991,100
0.55,highUnequal,0.5,Peak,-0.615389824,861.5,2753.5,6004.5,34482.5,-0.106554762,100
0.55,equal,0.5,Highest Growth,-0.009400306,761.5,1049.5,9944.5,30285.5,-0.002543925,100
0.55,equal,0.5,Peak,0.003278689,2074,2779.5,10612,33483.5,0.025258869,100
0.55,modUnequal,0.5,Highest Growth,-0.379972321,421.5,1049.5,6165.5,30285.5,-0.056895479,100
0.55,modUnequal,0.5,Peak,-0.337505312,1176.5,2779.5,6970.5,33483.5,-0.041821863,100
0.55,highUnequal,0.5,Highest Growth,-0.698877942,304.5,1049.5,4883.5,30285.5,-0.105765508,100
0.55,highUnequal,0.5,Peak,-0.620479492,865.5,2779.5,5636.5,33483.5,-0.090602773,100
0.55,equal,0.5,Highest Growth,0.005437666,942.5,1257,10608.5,32298,0.011941341,100
0.55,equal,0.5,Peak,-0.003035644,2127.5,2891.5,11083.5,34702.5,0.015919986,100
0.55,modUnequal,0.5,Highest Growth,-0.336116323,533,1257,6699,32298,-0.039150404,100
0.55,modUnequal,0.5,Peak,-0.334561118,1228.5,2891.5,7263.5,34702.5,-0.042644018,100
0.55,highUnequal,0.5,Highest Growth,-0.627120823,389,1257,5358,32298,-0.086059202,100
0.55,highUnequal,0.5,Peak,-0.649011783,877,2891.5,5968,34702.5,-0.117011223,100
0.55,equal,0.5,Highest Growth,0.001777674,1073.5,1443.5,10006.5,30811.5,0.013299089,100
0.55,equal,0.5,Peak,0.00625879,2133,2839.5,10510,33013.5,0.026198818,100
0.55,modUnequal,0.5,Highest Growth,-0.342696321,607,1443.5,6341,30811.5,-0.039410191,100
0.55,modUnequal,0.5,Peak,-0.351439458,1181,2839.5,6862,33013.5,-0.049748063,100
0.55,highUnequal,0.5,Highest Growth,-0.615706903,451.5,1443.5,5071.5,30811.5,-0.076238504,100
0.55,highUnequal,0.5,Peak,-0.620701357,884,2839.5,5691,33013.5,-0.103715428,100
0.55,equal,0.5,Highest Growth,-0.00544783,722,986.5,10918,33094.5,-0.000761856,100
0.55,equal,0.5,Peak,0.000642758,2035.5,2744,11372.5,35821,0.022012347,100
0.55,modUnequal,0.5,Highest Growth,-0.307680492,434,986.5,6794,33094.5,-0.016634751,100
0.55,modUnequal,0.5,Peak,-0.334448256,1166,2744,7409,35821,-0.036751665,100
0.55,highUnequal,0.5,Highest Growth,-0.609044552,310.5,986.5,5569.5,33094.5,-0.084682376,100
0.55,highUnequal,0.5,Peak,-0.606197075,866,2744,6260,35821,-0.103736106,100
0.55,equal,0.5,Highest Growth,0.002294337,1209.5,1624.5,10595.5,33283.5,0.022430902,100
0.55,equal,0.5,Peak,0.000811601,2166.5,2919.5,10929.5,34957.5,0.028682291,100
0.55,modUnequal,0.5,Highest Growth,-0.337063953,688,1624.5,6823,33283.5,-0.034035996,100
0.55,modUnequal,0.5,Peak,-0.325431607,1255,2919.5,7258,34957.5,-0.032993572,100
0.55,highUnequal,0.5,Highest Growth,-0.605555556,513,1624.5,5608,33283.5,-0.083557669,100
0.55,highUnequal,0.5,Peak,-0.608365053,919.5,2919.5,6078.5,34957.5,-0.102093712,100
0.55,equal,0.5,Highest Growth,-0.004794991,971.5,1325.5,10545.5,32793.5,0.011250805,100
0.55,equal,0.5,Peak,-0.007126633,2054.5,2817.5,10978.5,34971.5,0.019486748,100
0.55,modUnequal,0.5,Highest Growth,-0.358478195,546.5,1325.5,6663.5,32793.5,-0.042838012,100
0.55,modUnequal,0.5,Peak,-0.358929084,1161,2817.5,7218,34971.5,-0.050880728,100
