"","VE_susc","t","Label_testingDiff","NonCovid_cumPropSymptInfect_unvac.2.5.","NonCovid_cumPropSymptInfect_unvac.50.","NonCovid_cumPropSymptInfect_unvac.97.5.","NonCovid_cumPropSymptInfect_vac.2.5.","NonCovid_cumPropSymptInfect_vac.50.","NonCovid_cumPropSymptInfect_vac.97.5.","CumProp_falseNeg_vac.2.5.","CumProp_falseNeg_vac.50.","CumProp_falseNeg_vac.97.5.","CumProp_falseNeg_unvac.2.5.","CumProp_falseNeg_unvac.50.","CumProp_falseNeg_unvac.97.5.","VE_symptOR_observed.2.5.","VE_symptOR_observed.50.","VE_symptOR_observed.97.5.","VE_symptOR.2.5.","VE_symptOR.50.","VE_symptOR.97.5.","VE_symptRR_observed.2.5.","VE_symptRR_observed.50.","VE_symptRR_observed.97.5.","VE_symptRR.2.5.","VE_symptRR.50.","VE_symptRR.97.5.","t_highChange.2.5.","t_highChange.50.","t_highChange.97.5.","totalNum_sims"
"150",0.1,37,"modUnequal",0.500971,0.51266,0.521155,0.504030666666667,0.513606666666667,0.519368,0.000141958582453154,0.000424058277106999,0.00068488786891086,0,0.000719942404607631,0.00181581609393824,-0.130382865019732,0.00258402018399706,0.15490776050307,0.0211642094207051,0.0957077011988723,0.168921009416004,-0.922685185185185,-0.699444956005729,-0.455204752275025,0.018567494201982,0.0925328743454807,0.158727113208596,47,50,53,100
"151",0.1,38,"modUnequal",0.503672,0.51776,0.527261,0.508594666666667,0.519253333333333,0.525802666666667,0.000162032888111235,0.000463445731113793,0.000852726604205639,0,0.000918849069516256,0.00199433584546614,-0.151587683343105,-0.00126209637799102,0.144155007842326,0.0226121841658629,0.0980811760378145,0.162884851673544,-0.948888091822094,-0.695615654894719,-0.475734153065323,0.0222019187676184,0.0934180403139105,0.150538007575907,47,50,53,100
"152",0.1,39,"modUnequal",0.50633,0.52218,0.532766,0.511442666666667,0.523933333333333,0.532006333333333,0.000227439456443089,0.000543970992685169,0.000963531119993061,0,0.000920810752246105,0.00206306652523625,-0.134412575154867,0.00111590878946161,0.125571274896844,0.0349233972353049,0.0968587485242534,0.153379187643613,-0.919238921001927,-0.69075994760463,-0.498402474644884,0.0338755477069887,0.0952984073718106,0.142331689610301,47,50,53,100
"153",0.1,40,"modUnequal",0.5087,0.52578,0.537501,0.513346666666667,0.52788,0.537186666666667,0.00031294636832249,0.000623802566529386,0.00114276831862481,0.000224745485904691,0.00111309043413748,0.00220284407721967,-0.131738813493115,0.000731943212512687,0.126977974019933,0.0417341241187074,0.0971114876679685,0.154841365885274,-0.902549129606963,-0.682028518382388,-0.497790963431786,0.0408305614542812,0.0929972216417853,0.144194903166751,47,50,53,100
"154",0.1,41,"modUnequal",0.508409,0.52892,0.542224,0.514442333333333,0.53152,0.542588666666667,0.000394642570010045,0.000736026358257297,0.00134988391513535,0.000221836933396478,0.00111185234600845,0.00254662833162258,-0.137084154818392,0.00140791309197613,0.101636736614963,0.0551807858722749,0.0970254578059298,0.149877103667557,-0.890915595766342,-0.677485899883687,-0.515839438076359,0.0547276788523732,0.0946254075353802,0.135909868034407,47,50,53,100
"155",0.1,42,"modUnequal",0.506573,0.53084,0.546486,0.514149666666667,0.533993333333333,0.547145666666667,0.000429553331236643,0.000828332806697977,0.00144662736907112,0.000217611784724961,0.0013057681276919,0.00289927422906753,-0.125844399766643,-0.002467978453783,0.110442069854747,0.0520884802464002,0.0999513560666309,0.148252628037341,-0.880752081579193,-0.677565300929532,-0.509593181469916,0.0554063755435326,0.0922470517253849,0.133187251491533,47,50,53,100
"156",0.1,43,"modUnequal",0.504738,0.53164,0.55025,0.512813,0.53554,0.550968333333333,0.000442462482350747,0.000962406036627114,0.00170339227310247,0.000212891701053531,0.00148714787658853,0.003535812359908,-0.112271922248748,0.000401691795478498,0.0988978256827391,0.056345642178174,0.0993348900653099,0.145342351282248,-0.850865671641791,-0.674762379678741,-0.515551390214613,0.0578234184019256,0.0933054608160652,0.135674990638099,47,50,53,100
"157",0.1,44,"modUnequal",0.500834,0.5313,0.551902,0.510434333333333,0.535866666666666,0.554138,0.000598985859274348,0.00112717215974667,0.00185702962668825,0.000306054331459053,0.00185836018420137,0.00390673203862467,-0.0971297096799039,0.00148371769524025,0.0764042821708386,0.0637630975568153,0.101910030059339,0.14676646038647,-0.824222506434622,-0.670991617620831,-0.544966065898311,0.0623084768336933,0.0938409733551146,0.130734637504293,47,50,53,100
"158",0.1,45,"modUnequal",0.495211,0.52984,0.553045,0.506537,0.535386666666666,0.556894,0.000609715768894666,0.00130437283578155,0.00213875407715733,0.000603140181135635,0.002139468216944,0.00427510810149302,-0.0948950178022433,-0.0007715332142782,0.0652283156734307,0.0654893890846244,0.106928129667564,0.143562784117776,-0.817161102462089,-0.671706954514355,-0.558269782221189,0.066353208383462,0.0973298276037851,0.129848687812552,47,50,53,100
"159",0.1,46,"modUnequal",0.488456,0.52642,0.553898,0.501462333333333,0.53362,0.558198,0.000775052853091022,0.00154838551718642,0.00243389727064428,0.000687512549920796,0.00244162923728595,0.00454125880130517,-0.0895792068385607,0.000503608954838197,0.0705757557633806,0.0710488064948213,0.113334049942841,0.146006758144051,-0.804332686653459,-0.657724916863897,-0.553486880611698,0.0675565354612188,0.095753652125679,0.125345626514452,47,50,53,100
