VE_susc,t,Label_testingDiff,Covid_cumPropSymptInfect_unvac.2.5.,Covid_cumPropSymptInfect_unvac.50.,Covid_cumPropSymptInfect_unvac.97.5.,Covid_cumPropSymptInfect_vac.2.5.,Covid_cumPropSymptInfect_vac.50.,Covid_cumPropSymptInfect_vac.97.5.,NonCovid_cumPropSymptInfect_unvac.2.5.,NonCovid_cumPropSymptInfect_unvac.50.,NonCovid_cumPropSymptInfect_unvac.97.5.,NonCovid_cumPropSymptInfect_vac.2.5.,NonCovid_cumPropSymptInfect_vac.50.,NonCovid_cumPropSymptInfect_vac.97.5.,CumProp_falseNeg_vac.2.5.,CumProp_falseNeg_vac.50.,CumProp_falseNeg_vac.97.5.,CumProp_falseNeg_unvac.2.5.,CumProp_falseNeg_unvac.50.,CumProp_falseNeg_unvac.97.5.,VE_symptOR_observed.2.5.,VE_symptOR_observed.50.,VE_symptOR_observed.97.5.,VE_symptOR.2.5.,VE_symptOR.50.,VE_symptOR.97.5.,VE_symptRR_observed.2.5.,VE_symptRR_observed.50.,VE_symptRR_observed.97.5.,VE_symptRR.2.5.,VE_symptRR.50.,VE_symptRR.97.5.,t_highChange.2.5.,t_highChange.50.,t_highChange.97.5.,totalNum_sims
0.55,72,equal,0.082976,0.14934,0.220238,0.037546333,0.067113333,0.098200333,0.581583,0.6348,0.68515,0.672821667,0.6961,0.718688333,0.00093035,0.001998941,0.003359957,0.001875747,0.004230854,0.007070403,0.555204634,0.586880469,0.612525515,0.558285418,0.591703717,0.622042531,0.531222332,0.550276662,0.575796641,0.530624903,0.549748914,0.568004341,65,73,80,100
0.55,73,equal,0.090897,0.16084,0.234189,0.040814667,0.072126667,0.104502667,0.574885,0.63,0.684112,0.671738,0.6963,0.720434667,0.00111345,0.002238808,0.003561873,0.002152363,0.004482843,0.007702448,0.558079869,0.589219749,0.61477887,0.5636954,0.594722152,0.62577215,0.532681989,0.551213863,0.575703651,0.533463792,0.550291598,0.568023358,65,73,80,100
0.55,74,equal,0.099032,0.17282,0.246996,0.044373667,0.0774,0.110907333,0.568188,0.62474,0.681674,0.670959667,0.695973333,0.721964,0.00116789,0.002381823,0.00389934,0.00239236,0.004881182,0.008046419,0.56214133,0.590598293,0.618184795,0.565294738,0.597366473,0.628067858,0.530417563,0.550340507,0.574469228,0.531861969,0.55005784,0.567782202,65,73,80,100
0.55,75,equal,0.107078,0.18412,0.261151,0.048216667,0.082953333,0.117575,0.560417,0.61904,0.678869,0.670092,0.69576,0.723126,0.001287515,0.002604635,0.004247932,0.002652302,0.005291229,0.008582878,0.56382951,0.591362533,0.620939588,0.569919719,0.600435477,0.632866801,0.529903882,0.549815168,0.573364637,0.531825473,0.549346631,0.566933703,65,73,80,100
0.55,76,equal,0.116539,0.19662,0.274423,0.052113,0.08854,0.123981,0.554099,0.61304,0.675567,0.669058333,0.695233333,0.724207667,0.001406724,0.002756665,0.004588219,0.002864619,0.005720781,0.009466993,0.564625016,0.593225474,0.625154797,0.57140996,0.605129233,0.635665457,0.530261931,0.548794136,0.57416437,0.533428262,0.548903487,0.566023413,65,73,80,100
0.55,77,equal,0.12632,0.20882,0.288504,0.056156333,0.094586667,0.130159333,0.546293,0.60654,0.671465,0.667709667,0.694926667,0.725118,0.001496862,0.003001072,0.004857635,0.003193795,0.00620828,0.010060811,0.565056839,0.597958816,0.62791758,0.574659179,0.609180206,0.640541759,0.529321414,0.549496603,0.571431944,0.533771443,0.550044926,0.565983479,65,73,80,100
0.55,78,equal,0.136384,0.22114,0.30276,0.060732333,0.100806667,0.136023667,0.537733,0.59948,0.667017,0.666696667,0.694053333,0.725807333,0.001611323,0.003257499,0.005175171,0.003621495,0.006678583,0.010665342,0.568534007,0.601235345,0.629645165,0.578730662,0.612228754,0.644120025,0.531185032,0.549031436,0.572051667,0.533494836,0.549371716,0.564217329,65,73,80,100
0.55,79,equal,0.14636,0.23482,0.316448,0.065808,0.106706667,0.141857667,0.529455,0.59174,0.662572,0.665433333,0.692746667,0.725783333,0.001838228,0.003453064,0.00551248,0.004037839,0.007094645,0.011410414,0.570691958,0.604482155,0.632126469,0.581226166,0.616108545,0.647349409,0.528059272,0.549488177,0.570530086,0.533434072,0.549758695,0.562020163,65,73,80,100
0.55,80,equal,0.157486,0.24804,0.3298,0.070610333,0.112693333,0.147900667,0.522099,0.5838,0.657828,0.664192667,0.691613333,0.72553,0.001979172,0.003704289,0.005899532,0.004254429,0.007577143,0.011937043,0.574424755,0.607546363,0.634824535,0.581877563,0.619769804,0.651668802,0.529467777,0.548330114,0.567182262,0.53453141,0.549785871,0.561672925,65,73,80,100
0.55,81,equal,0.168427,0.26148,0.343412,0.075878,0.118993333,0.154075667,0.51404,0.5766,0.653027,0.662543,0.6901,0.725471333,0.002169861,0.003954987,0.006259985,0.004614676,0.008137233,0.012619316,0.57623041,0.611850304,0.639423616,0.586065928,0.624714491,0.656012026,0.531540949,0.548903529,0.56936965,0.533150676,0.550671884,0.560219977,65,73,80,100
